UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
42,L47221,1,-0.6024172079894964,-0.6103554596895817,-0.9525922451477956,1.0847329306445812,0.11074459165522267,0,0,0,0,0,0
43,M14902,2,-0.6024172079894964,-0.6103554596895817,-0.9525922451477956,0.9141946310377358,0.14216595402016027,0,0,0,0,0,0
44,H29457,0,-0.6024172079894964,-0.542954574084053,-0.9302801711480311,0.8540046429412019,0.18929799756756668,0,0,0,0,0,0
45,M14904,2,-0.6024172079894964,-0.6103554596895817,-0.3724783211539187,0.7536879961136456,0.26785140347991065,0,0,0,0,0,0
46,L47225,1,-0.6024172079894964,-0.6103554596895817,-0.2776520066549196,0.9141946310377358,0.31498344702731707,0,0,0,0,0,0
47,M14906,2,-0.652413241617146,-0.6777563452951486,1.6969665423242384,-1.4231832400443263,0.34640480939225465,0,0,0,0,0,0
48,L47227,1,-0.6024172079894964,-0.6103554596895817,-0.6736913201507394,0.6333080199205777,0.39353685293966106,0,0,0,0,0,0
49,H29462,0,-0.6024172079894964,-0.542954574084053,-0.6346451906511515,1.3957145358100058,0.42495821530459865,0,0,0,0,0,0
50,M14909,2,-0.5524211743618752,-0.542954574084053,-0.7071594311503862,0.4126113968999543,0.5035116212169427,0,0,0,0,0,0
51,L47230,1,-0.5524211743618752,-0.6103554596895817,7.3753893752643025,-3.54989615278852,0.5506436647643491,1,0,0,1,0,0
52,L47231,1,-0.5524211743618752,-0.6103554596895817,-0.8689219676486788,1.496031182637562,0.5820650271292866,0,0,0,0,0,0
53,H29466,0,-0.6024172079894964,-0.6777563452951486,-0.23302785865539064,0.382516402851687,0.6134863894942243,0,0,0,0,0,0
54,L47233,1,-0.652413241617146,-0.6777563452951486,0.1462773993406058,-0.49023842454805255,0.6920397954065682,0,0,0,0,0,0
55,L47234,1,-0.652413241617146,-0.6777563452951486,0.8491077303331874,-0.991821658685834,0.7234611577715059,0,0,0,0,0,0
56,L47235,1,-0.6024172079894964,-0.6103554596895817,-0.14935758115627376,0.07153479768626296,0.7548825201364434,0,0,0,0,0,0
57,L47236,1,-0.6024172079894964,-0.6103554596895817,-0.3445882286542131,0.24207309729310825,0.7863038825013811,0,0,0,0,0,0
58,L47237,1,-0.6024172079894964,-0.6103554596895817,-0.14377956265633265,0.03140813895523986,0.8177252448663187,0,0,0,0,0,0
59,M14918,2,-0.6024172079894964,-0.6777563452951486,0.6817671753349537,-1.0520116467823681,0.8491466072312562,0,0,0,0,0,0
60,L47239,1,-0.6024172079894964,-0.6103554596895817,-0.8968120601483844,1.445872859223784,0.8962786507786626,0,0,0,0,0,0
61,L47240,1,-0.6024172079894964,-0.6103554596895817,-0.8131417826492675,1.265302894934183,0.9277000131436003,0,0,0,0,0,0
62,M14921,2,-0.6024172079894964,-0.6777563452951486,0.29688389883901617,-0.17925681938262783,0.9591213755085378,0,0,0,0,0,0
63,L47242,1,-0.6024172079894964,-0.6777563452951486,1.6188742833250624,-1.7141015158442399,1.0062534190559442,0,0,0,0,0,0
64,M14923,2,-0.5524211743618752,-0.6777563452951486,1.5240479688260635,-1.4131515753615709,1.0376747814208818,0,0,0,0,0,0
65,L47244,1,-0.5024251407342256,-0.6103554596895817,-0.0879993776569214,-0.13913016065160544,1.0848068249682883,0,0,0,0,0,0
66,L47245,1,-0.5024251407342256,-0.6103554596895817,-0.8075637641493264,0.5129280437275106,1.1162281873332258,0,0,0,0,0,0
67,M14926,2,-0.5524211743618752,-0.7451572309007156,0.7821715083338939,-1.1322649642444131,1.1476495496981634,0,0,0,0,0,0
68,H29481,0,-0.6024172079894964,-0.7451572309007156,-0.40594643215356546,0.4126113968999543,1.1947815932455699,0,0,0,0,0,0
69,L47248,1,-0.6024172079894964,-0.7451572309007156,-0.0656873036571569,-0.7610933709824549,1.273334999157914,0,0,0,0,0,0
70,L47249,1,-0.5524211743618752,-0.6777563452951486,-0.7183154681502684,2.5794509683751707,1.3047563615228515,1,0,0,1,1,0
71,M14930,2,-0.5524211743618752,-0.6777563452951486,2.1487860408194694,-1.7441965098925065,1.336177723887789,0,0,0,0,0,0
72,L47251,1,-0.5524211743618752,-0.6103554596895817,-0.48403869115274123,0.5530547024585329,1.3833097674351955,0,0,0,0,0,0
73,L47252,1,-0.5524211743618752,-0.6103554596895817,-0.9470142266478545,0.4427063909482209,1.414731129800133,0,0,0,0,0,0
74,L47253,1,-0.5024251407342256,-0.6103554596895817,0.29688389883901617,-0.5002700892308083,1.4461524921650706,0,0,0,0,0,0
75,L47254,1,-0.5524211743618752,-0.6777563452951486,0.3470860653384863,-0.7711250356652106,1.4775738545300083,0,0,0,0,0,0
76,L47255,1,-0.6024172079894964,-0.7451572309007156,-0.8912340416484432,0.6734346786516008,1.5089952168949459,0,0,0,0,0,0
77,L47256,1,-0.6024172079894964,-0.7451572309007156,-0.4338365246532711,0.793814654844668,1.5404165792598834,0,0,0,0,0,0
78,L47257,1,-0.6024172079894964,-0.7451572309007156,-0.46730463565291785,0.13172478578279617,1.5718379416248212,1,1,0,0,0,0
79,L47258,1,-0.6024172079894964,-0.7451572309007156,-0.7852516901495619,1.1549545834238708,-1.6959837443286894,0,0,0,0,0,0
80,L47259,1,-0.6024172079894964,-0.7451572309007156,-0.7629396161497974,-0.20935181343089515,-1.6645623819637516,0,0,0,0,0,0
81,H29494,0,-0.6024172079894964,-0.8125581165062443,-0.5230848206523291,0.9944479484997806,-1.633141019598814,0,0,0,0,0,0
82,L47261,1,-0.5524211743618752,-0.7451572309007156,-0.49519472815262344,0.7536879961136456,-1.55458761368647,0,0,0,0,0,0
83,L47262,1,-0.5524211743618752,-0.7451572309007156,-0.47846067265280007,0.08156646236901802,-1.5231662513215325,0,0,0,0,0,0
84,L47263,1,-0.5024251407342256,-0.6777563452951486,-0.3892123766537421,0.011344809589729025,-1.491744888956595,0,0,0,0,0,0
85,L47264,1,-0.5524211743618752,-0.7451572309007156,-0.651379246150975,0.7637196607964014,-1.4603235265916572,0,0,0,0,0,0
86,M14945,2,-0.5024251407342256,-0.6777563452951486,1.4794238208265345,-1.32286659321677,-1.4289021642267197,0,0,0,0,0,0
87,H29500,0,-0.5024251407342256,-0.6777563452951486,-0.5732869871517992,0.3925480675344427,-1.3817701206793134,0,0,0,0,0,0
88,L47267,1,-0.5024251407342256,-0.6777563452951486,0.029139010841842203,-0.8212833590789884,-1.3032167147669693,0,0,0,0,0,0
89,M14948,2,-0.5024251407342256,-0.6777563452951486,-0.6681133016507983,0.5229597084102664,-1.2717953524020318,0,0,0,0,0,0
90,M14949,2,-0.5524211743618752,-0.7451572309007156,-0.2888080436548019,-0.04884517850680491,-1.2246633088546253,0,0,0,0,0,0
91,L47270,1,-0.5524211743618752,-0.7451572309007156,1.194944877329537,-1.4231832400443263,-1.177531265307219,0,0,0,0,0,0
92,L47271,1,-0.5524211743618752,-0.7451572309007156,1.6244523018250037,-1.5134682221891271,-1.1461099029422812,0,0,0,0,0,0
93,M14952,2,-0.5524211743618752,-0.7451572309007156,1.0499163963310678,-1.2927715991685031,-1.1146885405773437,0,0,0,0,0,0
94,L47273,1,-0.452429107106576,-0.6777563452951486,-0.49519472815262344,0.3022630853896422,-1.0675564970299374,0,0,0,0,0,0
95,L47274,1,-0.5024251407342256,-0.7451572309007156,0.46422445383724986,-0.811251694396233,-1.0361351346649996,0,0,0,0,0,0
96,M14955,2,-0.5024251407342256,-0.6777563452951486,-1.0474185596467946,1.2251762362031606,-1.004713772300062,0,0,0,0,0,0
97,M14956,2,-0.5024251407342256,-0.6777563452951486,0.20205758434001705,-0.4701750951825417,-0.9575817287526557,0,0,0,0,0,0
98,M14957,2,-0.5524211743618752,-0.7451572309007156,1.1782108218297138,-1.0118849880513456,-0.9104496852052493,0,0,0,0,0,0
99,L47278,1,-0.5524211743618752,-0.8125581165062443,-0.05453126665727466,-0.7309983769341876,-0.8633176416578429,0,0,0,0,0,0
100,L47279,1,-0.6024172079894964,-0.8125581165062443,-0.0879993776569214,0.4427063909482209,-0.8318962792929053,0,0,0,0,0,0
101,L47280,1,-0.6024172079894964,-0.7451572309007156,1.7471687088237084,-1.5034365575063715,-0.8004749169279677,0,0,0,0,0,0
102,L47281,1,-0.6024172079894964,-0.8125581165062443,2.5225132803155246,-1.9347981388648636,-0.7690535545630302,0,0,0,0,0,0
103,L47282,1,-0.6024172079894964,-0.8125581165062443,0.09049721434119457,0.06150313300350718,-0.7376321921980925,0,0,0,0,0,0
104,M14963,2,-0.6024172079894964,-0.8125581165062443,-0.5453968946520936,0.05147146832075141,-0.7062108298331549,0,0,0,0,0,0
105,L47284,1,-0.6024172079894964,-0.8799590021118113,-0.49519472815262344,0.3423897441206646,-0.6590787862857486,0,0,0,0,0,0
106,L47285,1,-0.6024172079894964,-0.8799590021118113,0.291305880339075,-0.8915050118582778,-0.6276574239208109,0,0,0,0,0,0
107,L47286,1,-0.6024172079894964,-0.8799590021118113,-0.5230848206523291,0.8540046429412019,-0.5962360615558733,0,0,0,0,0,0
108,M14967,2,-0.6024172079894964,-0.8125581165062443,-0.23302785865539064,0.6834663433343559,-0.5648146991909357,0,0,0,0,0,0
109,H29522,0,-0.5524211743618752,-0.8125581165062443,0.45864643533730876,-0.7309983769341876,-0.5176826556435293,0,0,0,0,0,0
110,L47289,1,-0.5524211743618752,-0.8799590021118113,0.18532352884019368,-0.5905550713756088,-0.43912924973118533,0,0,0,0,0,0
111,L47290,1,-0.6024172079894964,-0.9473598877173399,1.8587290788225308,-1.7542281745752621,-0.40770788736624775,0,0,0,0,0,0
112,H29525,0,-0.652413241617146,-0.9473598877173399,-0.22187182165550837,0.3524214088034203,-0.3762865250013101,0,0,0,0,0,0
113,M14972,2,-0.6024172079894964,-0.8799590021118113,-0.2274498401554495,-0.04884517850680491,-0.2977331190889661,0,0,0,0,0,0
114,M14973,2,-0.6024172079894964,-0.9473598877173399,-0.294386062154743,0.1919147738793301,-0.25060107554155975,0,0,0,0,0,0
115,L47294,1,-0.6024172079894964,-0.9473598877173399,0.787749526833835,-1.0620433114651238,-0.2034690319941533,0,0,0,0,0,0
116,L47295,1,-0.6024172079894964,-0.9473598877173399,-0.6011770796515048,0.5731180318240445,-0.17204766962921572,0,0,0,0,0,0
117,L47296,1,-0.5524211743618752,-0.8799590021118113,0.1406993808406647,-0.5905550713756088,-0.14062630726427813,0,0,0,0,0,0
118,L47297,1,-0.6024172079894964,-0.9473598877173399,0.335930028338604,-0.7009033828859209,-0.10920494489934052,0,0,0,0,0,0
119,M14978,2,-0.6024172079894964,-0.9473598877173399,0.9383560263322455,-1.1924549523409467,-0.07778358253440293,0,0,0,0,0,0
120,L47299,1,-0.652413241617146,-1.014760773322907,-0.40036841365362436,0.07153479768626296,-0.030651538986996525,0,0,0,0,0,0
121,L47300,1,-0.5524211743618752,-0.8799590021118113,-0.5900210426516226,0.4728013849964882,0.0007698233779410748,0,0,0,0,0,0
122,L47301,1,-0.5524211743618752,-0.8799590021118113,0.10723126984101794,0.12169312110004112,0.03219118574287867,0,0,0,0,0,0
123,L47302,1,-0.5024251407342256,-0.8125581165062443,-1.2761173181443808,1.074701265961826,0.06361254810781627,0,0,0,0,0,0
124,L47303,1,-0.5524211743618752,-0.8799590021118113,0.04029504784172445,0.3423897441206646,0.09503391047275388,0,0,0,0,0,0
125,L47304,1,-0.5524211743618752,-0.8799590021118113,1.0499163963310678,-1.0620433114651238,0.12645527283769148,0,0,0,0,0,0
126,L47305,1,-0.5524211743618752,-0.9473598877173399,0.11838730684090018,-0.7811567003479657,0.15787663520262907,0,0,0,0,0,0
127,L47306,1,-0.5024251407342256,-0.9473598877173399,-1.1701349666454994,2.0578044048718778,0.18929799756756668,0,0,0,0,0,0
128,L47307,1,-0.5524211743618752,-0.9473598877173399,-0.701581412650445,0.6533713492860893,0.22071935993250427,0,0,0,0,0,0
129,L47308,1,-0.5024251407342256,-0.9473598877173399,0.2689938063393105,-0.13913016065160544,0.2521407222974419,0,0,0,0,0,0
130,L47309,1,-0.5524211743618752,-1.014760773322907,0.11280928834095906,-0.570491742010098,0.2835620846623795,0,0,0,0,0,0
131,L47310,1,-0.6024172079894964,-1.082161658928474,-0.3669003026539776,0.11166145641728534,0.31498344702731707,0,0,0,0,0,0
132,L47311,1,-0.6024172079894964,-1.082161658928474,1.105696581330479,-1.2325816110719694,0.34640480939225465,0,0,0,0,0,0
133,M14992,2,-0.652413241617146,-1.082161658928474,-0.5453968946520936,0.3223264147551537,0.37782617175719224,0,0,0,0,0,0
134,M14993,2,-0.652413241617146,-1.082161658928474,-0.6067550981514459,0.964352954451514,0.42495821530459865,0,0,0,0,0,0
135,L47314,1,-0.6024172079894964,-1.082161658928474,-0.9470142266478545,1.3054295536652054,0.47209025885200506,0,0,0,0,0,0
136,M14995,2,-0.6024172079894964,-1.014760773322907,0.9606681003320099,-1.1523282936099244,0.5035116212169427,0,0,0,0,0,0
137,H29550,0,-0.652413241617146,-1.014760773322907,-0.6625352831508572,0.5731180318240445,0.5506436647643491,0,0,0,0,0,0
138,L47317,1,-0.652413241617146,-0.9473598877173399,-1.3486315586436155,1.5361578413685846,0.6291970706766931,0,0,0,0,0,0
139,H29552,0,-0.6024172079894964,-0.9473598877173399,-0.5007727466525645,0.9442896250860024,0.6606184330416307,0,0,0,0,0,0
140,L47319,1,-0.6024172079894964,-0.9473598877173399,-1.510394095141908,1.5863161647823627,0.7391718389539746,0,0,0,0,0,0
141,L47320,1,-0.6024172079894964,-0.9473598877173399,-0.1549355996562149,-0.38992177772049624,0.7705932013189123,0,0,0,0,0,0
142,L47321,1,-0.652413241617146,-1.014760773322907,0.029139010841842203,-0.48020675986529676,0.8020145636838498,0,0,0,0,0,0
143,M15002,2,-0.7024092752447672,-1.082161658928474,1.3343953398280652,-1.1824232876581913,0.8334359260487875,0,0,0,0,0,0
144,H29557,0,-0.7024092752447672,-1.082161658928474,-0.7350495236500918,1.0546379365963146,0.8805679695961939,0,0,0,0,0,0
145,M15004,2,-0.7024092752447672,-1.082161658928474,-0.8242978196491497,0.24207309729310825,0.9591213755085378,0,0,0,0,0,0
146,L47325,1,-0.7524053088724167,-1.082161658928474,-0.14377956265633265,-0.640713394789387,1.0062534190559442,0,0,0,0,0,0
147,H29560,0,-0.7524053088724167,-1.082161658928474,0.40844426883783863,-0.38992177772049624,1.0376747814208818,0,0,0,0,0,0
148,L47327,1,-0.8024013425000663,-1.082161658928474,-0.1326235256564504,0.011344809589729025,1.1162281873332258,0,0,0,0,0,0
149,M15008,2,-0.8523973761276875,-1.1495625445340025,-0.8912340416484432,0.8038463195274238,1.1476495496981634,0,0,0,0,0,0
150,L47329,1,-0.8024013425000663,-1.1495625445340025,-0.3669003026539776,-0.008718519775782523,1.1947815932455699,0,0,0,0,0,0
151,L47330,1,-0.8024013425000663,-1.1495625445340025,-0.651379246150975,0.2721680913413756,1.2262029556105074,0,0,0,0,0,0
152,M15011,2,-0.8024013425000663,-1.2169634301395695,-0.42268048765338884,-0.23944680747916175,1.2576243179754452,0,0,0,0,0,0
153,M15012,2,-0.8024013425000663,-1.2169634301395695,0.25225975083948715,0.10162979173452956,1.3047563615228515,0,0,0,0,0,0
154,L47333,1,-0.8024013425000663,-1.2169634301395695,1.7360126718238262,-1.3028032638512588,1.3518884050702578,0,0,0,0,0,0
155,L47334,1,-0.8024013425000663,-1.2169634301395695,-0.06010928515721578,-0.37989011303774045,1.3833097674351955,0,0,0,0,0,0
156,H29569,0,-0.8024013425000663,-1.2169634301395695,2.50020120631576,-2.025083121009664,1.414731129800133,0,0,0,0,0,0
157,M15016,2,-0.8024013425000663,-1.2843643157450981,-0.24418389565527288,0.6032130258723112,1.493284535712477,0,0,0,0,0,0
158,H29571,0,-0.8024013425000663,-1.2169634301395695,-0.33901021015427196,0.3524214088034203,1.5404165792598834,0,0,0,0,0,0
159,M15018,2,-0.8024013425000663,-1.2169634301395695,-0.22187182165550837,0.0013131449069732513,1.6189699851722275,0,0,0,0,0,0
160,L47339,1,-0.8024013425000663,-1.2169634301395695,-0.3780563396538599,0.7035296726998674,1.6661020287196338,0,0,0,0,0,0
161,L47340,1,-0.8024013425000663,-1.2169634301395695,-1.4323018361427322,2.077867734237389,1.6975233910845715,1,0,0,0,1,0
162,L47341,1,-0.8523973761276875,-1.2843643157450981,-0.7071594311503862,1.2352079008859156,1.728944753449509,1,0,0,0,1,0
163,L47342,1,-0.8523973761276875,-1.2843643157450981,0.2634157878393694,-0.45011176581703016,-1.6959837443286894,0,0,0,0,0,0
164,M15023,2,-0.8024013425000663,-1.2169634301395695,-0.39479039515368325,0.382516402851687,-1.6645623819637516,0,0,0,0,0,0
165,M15024,2,-0.7524053088724167,-1.1495625445340025,-0.5509749131520347,0.3624530734861761,-1.6174303384163453,0,0,0,0,0,0
166,L47345,1,-0.7524053088724167,-1.082161658928474,1.0833845073307147,-1.403119910678815,-1.5702982948689388,0,0,0,0,0,0
167,H29580,0,-0.8024013425000663,-1.2169634301395695,0.40844426883783863,-0.7410300416169433,-1.5388769325040013,0,0,0,0,0,0
168,H29581,0,-0.8024013425000663,-1.1495625445340025,-0.4505705801530945,0.2922314207068864,-1.4603235265916572,0,0,0,0,0,0
169,L47348,1,-0.8024013425000663,-1.1495625445340025,-0.5900210426516226,2.2383743691614786,-1.3817701206793134,1,0,0,1,0,0
170,L47349,1,-0.8024013425000663,-1.1495625445340025,-1.231493170144852,1.917361099313299,-1.3503487583143756,0,0,0,0,0,0
171,M15030,2,-0.8024013425000663,-1.2169634301395695,0.39728823183795636,-0.5002700892308083,-1.318927395949438,0,0,0,0,0,0
172,L47351,1,-0.9023934097553371,-1.2843643157450981,-0.42825850615332994,1.0847329306445812,-1.2717953524020318,0,0,0,0,0,0
173,M15032,2,-0.9523894433829583,-1.3517652013506651,2.1487860408194694,-1.9247664741821078,-1.240373990037094,0,0,0,0,0,0
174,M15033,2,-0.9023934097553371,-1.3517652013506651,0.291305880339075,-0.6306817301066312,-1.1932419464896877,0,0,0,0,0,0
175,L47354,1,-0.9023934097553371,-1.2843643157450981,-1.2984293921441452,1.8371077818512536,-1.1461099029422812,0,0,0,0,0,0
176,L47355,1,-0.9023934097553371,-1.2843643157450981,-0.8744999861486199,0.3524214088034203,-1.1146885405773437,0,0,0,0,0,0
177,L47356,1,-0.9023934097553371,-1.2843643157450981,0.4419123798374854,-0.530365083279075,-1.0832671782124061,0,0,0,0,0,0
178,L47357,1,-0.9023934097553371,-1.2169634301395695,2.505779224815701,-1.8645764860855742,-1.0518458158474686,0,0,0,0,0,0
179,L47358,1,-0.9023934097553371,-1.2169634301395695,-0.5732869871517992,1.024542942548048,-1.0204244534825309,0,0,0,0,0,0
180,L47359,1,-0.9023934097553371,-1.1495625445340025,-1.3095854291440276,0.9844162838170248,-0.9890030911175933,0,0,0,0,0,0
181,L47360,1,-0.9023934097553371,-1.1495625445340025,-0.35574426565409534,0.9944479484997806,-0.9575817287526557,0,0,0,0,0,0
182,H29595,0,-0.9023934097553371,-1.1495625445340025,1.590984190825357,-1.5836898749684165,-0.9261603663877181,0,0,0,0,0,0
183,M15042,2,-0.9523894433829583,-1.2169634301395695,-1.097620726146265,0.8138779842101795,-0.8476069604753741,0,0,0,0,0,0
184,L47363,1,-0.9523894433829583,-1.2169634301395695,-0.2999640806546841,0.07153479768626296,-0.8004749169279677,0,0,0,0,0,0
185,L47364,1,-0.9023934097553371,-1.2169634301395695,0.7152352863346004,-0.9416633352720559,-0.7690535545630302,0,0,0,0,0,0
186,L47365,1,-0.9023934097553371,-1.2169634301395695,-0.517506802152388,-0.17925681938262783,-0.7376321921980925,0,0,0,0,0,0
187,L47366,1,-0.9523894433829583,-1.1495625445340025,-1.3263194846438509,1.6063794941478742,-0.7062108298331549,0,0,0,0,0,0
188,L47367,1,-0.9023934097553371,-1.082161658928474,-0.8912340416484432,0.312294750072398,-0.6747894674682173,0,0,0,0,0,0
189,L47368,1,-0.8523973761276875,-1.014760773322907,0.3749761578381919,-0.640713394789387,-0.6433681051032797,0,0,0,0,0,0
190,M15049,2,-0.8523973761276875,-1.082161658928474,0.0012489183421365822,0.3423897441206646,-0.6119467427383422,0,0,0,0,0,0
191,L47370,1,-0.9023934097553371,-1.082161658928474,-0.3445882286542131,0.9944479484997806,-0.5648146991909357,0,0,0,0,0,0
192,L47371,1,-0.9023934097553371,-1.082161658928474,0.7096572678346593,-0.5403967479618307,-0.5333933368259981,0,0,0,0,0,0
193,H29606,0,-0.9023934097553371,-1.082161658928474,-0.7852516901495619,1.1850495774721375,-0.5019719744610606,0,0,0,0,0,0
194,H29607,0,-0.9023934097553371,-1.082161658928474,0.7765934898339528,-0.5403967479618307,-0.4234185685487165,0,0,0,0,0,0
195,M15054,2,-0.9023934097553371,-1.014760773322907,6.354611989775077,-2.937964607140427,-0.3448651626363725,1,0,0,1,0,0
196,L47375,1,-0.8523973761276875,-1.014760773322907,-0.47846067265280007,0.2922314207068864,-0.2977331190889661,0,0,0,0,0,0
197,H29610,0,-0.8523973761276875,-0.9473598877173399,-0.5955990611515637,0.9543212897687582,-0.2663117567240285,0,0,0,0,0,0
198,M15057,2,-0.8024013425000663,-0.9473598877173399,-0.0656873036571569,0.0915981270517738,-0.18775835081168452,0,0,0,0,0,0
199,L47378,1,-0.8024013425000663,-0.8799590021118113,0.27457182483925163,-0.5002700892308083,-0.14062630726427813,0,0,0,0,0,0
200,L47379,1,-0.8024013425000663,-0.9473598877173399,-0.5900210426516226,0.7135613373826232,-0.10920494489934052,0,0,0,0,0,0
201,L47380,1,-0.8024013425000663,-0.9473598877173399,0.39171021333801526,-0.5002700892308083,-0.07778358253440293,0,0,0,0,0,0
202,L47381,1,-0.8523973761276875,-1.014760773322907,0.20205758434001705,0.12169312110004112,-0.046362220169465326,0,0,0,0,0,0
203,M15062,2,-0.8024013425000663,-1.014760773322907,0.5423167128364256,-0.43004843645151863,-0.014940857804527726,0,0,0,0,0,0
